Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
O1CN01hv9lcY1q0ov0kJcYu_!!6000000005434-2-yinhe.png_220x10000.jpg_.webp,O1CN01hv9lcY1q0ov0kJcYu_!!6000000005434-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN01hv9lcY1q0ov0kJcYu_!!6000000005434-2-yinhe.png_220x10000.jpg_.webp,8.63671875,0.6393150989548588,48400,151.68883515623213,8.63671875,2.044921875,0.9565439548124239,0,1
O1CN018fiXQk1ghHU86lkUC_!!6000000004173-2-yinhe.png_220x10000.jpg_.webp,O1CN018fiXQk1ghHU86lkUC_!!6000000004173-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN018fiXQk1ghHU86lkUC_!!6000000004173-2-yinhe.png_220x10000.jpg_.webp,15.392578125,0.6393150989548588,48400,117.83394859601493,15.392578125,4.8046875,0.9101456689591231,20,1
O1CN01Ba0mIk22t7EkW0tkP_!!2-item_pic.png_220x10000.jpg_.webp,O1CN01Ba0mIk22t7EkW0tkP_!!2-item_pic.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i3/392147177/O1CN01Ba0mIk22t7EkW0tkP_!!2-item_pic.png_220x10000.jpg_.webp,26.1875,0.6393150989548588,48400,190.9860446398103,26.1875,7.22265625,0.9007003690465096,0,1
O1CN0165z5rS1PKyjY5Vw06_!!6000000001823-2-yinhe.png_220x10000.jpg_.webp,O1CN0165z5rS1PKyjY5Vw06_!!6000000001823-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN0165z5rS1PKyjY5Vw06_!!6000000001823-2-yinhe.png_220x10000.jpg_.webp,13.572265625,0.7118078719146097,48400,105.66239089070389,13.572265625,4.1953125,0.9112555276673663,0,1
O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,26.998046875,0.7118078719146097,48400,247.06082491870518,26.998046875,8.576171875,0.925435871890812,20,1
O1CN01lBxp7M1YvvE7XAu2V_!!2-item_pic.png_220x10000.jpg_.webp,O1CN01lBxp7M1YvvE7XAu2V_!!2-item_pic.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/619123122/O1CN01lBxp7M1YvvE7XAu2V_!!2-item_pic.png_220x10000.jpg_.webp,16.677734375,0.7118078719146097,48400,125.57280786022669,16.677734375,5.0859375,0.9076886383881559,30,1
O1CN01xcNTTW1lJX1yOq8Zc_!!6000000004798-2-yinhe.png_220x10000.jpg_.webp,O1CN01xcNTTW1lJX1yOq8Zc_!!6000000004798-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN01xcNTTW1lJX1yOq8Zc_!!6000000004798-2-yinhe.png_220x10000.jpg_.webp,17.546875,0.7118078719146097,48400,153.49003447237803,17.546875,5.9609375,0.9245166792761064,0,1
TB14MWoNhjaK1RjSZFAwu2dLFXa.png,TB14MWoNhjaK1RjSZFAwu2dLFXa.png,https://img.alicdn.com/tfscom/TB14MWoNhjaK1RjSZFAwu2dLFXa.png,1.6328125,0.8554591950189014,11025,1006835937.4999999,1.6328125,0.6259765625,1.0,90,1
TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,1.36328125,0.0,0,0.0,1.36328125,1.36328125,1.0,100,1
TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,1.36328125,0.9270624861018457,400,0.0,1.36328125,1.36328125,1.0,100,1
O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,https://img.alicdn.com/imgextra/i4/O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,1.6845703125,0.9597509450744941,7920,0.0,1.6845703125,1.6845703125,1.0,100,1
O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,https://img.alicdn.com/imgextra/i3/O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,15.333984375,0.9597509450744941,9520,959960937.4999999,15.333984375,14.3740234375,1.0,90,1
O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,https://img.alicdn.com/imgextra/i3/O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,9.3818359375,0.9597509450744941,6960,399414062.5,9.3818359375,8.982421875,1.0,90,1
O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,https://img.alicdn.com/imgextra/i1/O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,13.1650390625,0.9699799866577719,8080,404296875.0,13.1650390625,12.7607421875,1.0,90,1
O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,https://img.alicdn.com/imgextra/i3/O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,3.681640625,0.9699799866577719,3960,48828125.0,3.681640625,3.6328125,1.0,90,1
O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,https://gw.alicdn.com/imgextra/i1/O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,5.5361328125,0.9802090282410496,10366,769531250.0,5.5361328125,4.7666015625,1.0,90,1
